Gender,GradeLevel,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Name
Female,1,7,6,1,4,3,5,4,3,6,4,5,3,6,6,4,5,4,6,2,6,5,3,7,4,5,2,7,6,Student1
Female,1,3,7,4,6,2,7,6,3,6,3,7,7,7,7,5,6,3,5,2,7,7,4,5,3,4,1,2,5,Student2
Female,1,4,5,4,7,2,7,6,4,5,3,5,2,6,6,3,6,3,6,2,7,7,2,6,4,6,2,5,5,Student3
Male,1,4,4,4,6,1,5,2,5,7,5,7,1,4,6,4,5,3,7,1,5,6,3,6,5,6,3,7,6,Student4
Female,1,3,5,3,7,2,5,3,3,6,2,7,1,5,6,3,5,4,5,2,5,7,5,6,5,7,2,7,6,Student5
Male,1,4,5,3,6,3,6,5,4,6,4,5,2,6,4,7,7,3,5,3,5,5,6,7,5,5,2,7,6,Student6
Male,1,3,6,5,5,2,6,2,3,5,3,7,4,6,7,3,5,3,5,1,7,6,3,6,5,6,1,4,5,Student7
Female,1,4,5,2,7,1,5,4,4,5,3,5,3,6,6,2,6,5,6,3,6,5,4,6,5,5,2,7,6,Student8
Male,1,3,6,4,5,3,7,3,3,6,4,7,2,7,6,4,5,3,7,4,6,7,3,6,4,5,2,7,5,Student9
Male,1,3,5,3,7,3,3,4,2,6,5,6,2,4,5,4,7,2,7,1,4,6,3,5,4,7,2,6,5,Student10
